Raw value,Corresponding cumulative value,Corresponding Cloglog value,Fractional area,Training omission,Test omission
3.10391E-5,1.300183998,0.030171545,0.178321678,0,0
3.35849E-5,1.400933107,0.032605418,0.175224775,0,0
3.58611E-5,1.501426338,0.034776351,0.172327672,0,0
4.02302E-5,1.751734592,0.038929819,0.165734266,0,0
4.65993E-5,2.001941452,0.044952594,0.15994006,0,0
5.28245E-5,2.250615397,0.050802705,0.154945055,0,0
5.78171E-5,2.500631076,0.055468677,0.15044955,0,0
6.40026E-5,2.755386677,0.061217674,0.146253746,0,0
6.84212E-5,3.000989906,0.065302964,0.142557443,0,0
7.43829E-5,3.256711016,0.07078682,0.138961039,0,0
7.90532E-5,3.503847826,0.075060373,0.135764236,0,0
8.51655E-5,3.751090772,0.080623623,0.132767233,0,0
9.0117E-5,4.003475562,0.085105839,0.12987013,0,0
9.45588E-5,4.254068759,0.089108086,0.127172827,0,0
9.88586E-5,4.505474377,0.092965738,0.124575425,0,0
1.04947E-4,4.759050097,0.098399919,0.122077922,0,0
1.12807E-4,5.009080974,0.105367596,0.11978022,0,0
1.18301E-4,5.252473287,0.110206119,0.117682318,0,0
1.2508E-4,5.508822421,0.116139722,0.115584416,0,0
1.2994E-4,5.751705617,0.120369134,0.113686314,0,0
1.3565E-4,6.004212766,0.125312737,0.111788212,0,0
1.42156E-4,6.254302697,0.130911616,0.10999001,0,0
1.47358E-4,6.501331378,0.135362496,0.108291708,0,0
1.51085E-4,6.755032774,0.138536961,0.106593407,0,0
1.55565E-4,7.015440416,0.142337954,0.104895105,0,0
1.64064E-4,7.257091016,0.14950231,0.103396603,0,0
1.72095E-4,7.509107464,0.156217145,0.101898102,0,0
1.78462E-4,7.755596675,0.161503591,0.1004995,0,0
1.83521E-4,8.00877981,0.165680295,0.099100899,0,0
1.88798E-4,8.251705605,0.170014145,0.097802198,0,0
1.94418E-4,8.50059715,0.174605624,0.096503497,0,0
1.98447E-4,8.75611417,0.177881348,0.095204795,0,0
2.03128E-4,9.017477294,0.181670517,0.093906094,0,0
2.08139E-4,9.263683288,0.185708457,0.092707293,0,0
2.15043E-4,9.517280993,0.191238372,0.091508492,0,0
2.2079E-4,9.757766622,0.195813006,0.09040959,0,0
2.27069E-4,10.004505192,0.200781247,0.089310689,0,0
